0.00, 217268648.993412, 258931472.423570, 283404782.645304, 259706364.352507, 643.680715, 845.038340, -683.765539, 746.159219
10.00, 217275085.800558, 258939922.806972, 283397944.989909, 259713825.944695, 643.669499, 845.011746, -683.785427, 746.140995
20.00, 217281522.495545, 258948372.924437, 283391107.135644, 259721287.354641, 643.658289, 844.985154, -683.805313, 746.122770
30.00, 217287959.078435, 258956822.775980, 283384269.082512, 259728748.582341, 643.647085, 844.958564, -683.825199, 746.104545
40.00, 217294395.549287, 258965272.361617, 283377430.830518, 259736209.627789, 643.635887, 844.931975, -683.845085, 746.086319
50.00, 217300831.908160, 258973721.681363, 283370592.379668, 259743670.490979, 643.624695, 844.905387, -683.864970, 746.068093
60.00, 217307268.155114, 258982170.735234, 283363753.729965, 259751131.171907, 643.613509, 844.878801, -683.884855, 746.049866
70.00, 217313704.290208, 258990619.523245, 283356914.881416, 259758591.670567, 643.602329, 844.852217, -683.904739, 746.031639
80.00, 217320140.313502, 258999068.045412, 283350075.834024, 259766051.986955, 643.591155, 844.825634, -683.924623, 746.013411
90.00, 217326576.225057, 259007516.301751, 283343236.587794, 259773512.121064, 643.579987, 844.799053, -683.944506, 745.995183
100.00, 217333012.024931, 259015964.292277, 283336397.142732, 259780972.072890, 643.568825, 844.772473, -683.964389, 745.976954
110.00, 217339447.713184, 259024412.017005, 283329557.498841, 259788431.842427, 643.557669, 844.745895, -683.984271, 745.958724
120.00, 217345883.289876, 259032859.475952, 283322717.656127, 259795891.429671, 643.546519, 844.719318, -684.004153, 745.940494
130.00, 217352318.755068, 259041306.669132, 283315877.614595, 259803350.834615, 643.535375, 844.692743, -684.024035, 745.922264
140.00, 217358754.108818, 259049753.596561, 283309037.374250, 259810810.057255, 643.524237, 844.666169, -684.043915, 745.904033
150.00, 217365189.351186, 259058200.258255, 283302196.935095, 259818269.097585, 643.513105, 844.639597, -684.063796, 745.885802
160.00, 217371624.482233, 259066646.654229, 283295356.297137, 259825727.955601, 643.501979, 844.613027, -684.083676, 745.867570
170.00, 217378059.502019, 259075092.784499, 283288515.460379, 259833186.631296, 643.490858, 844.586458, -684.103555, 745.849337
180.00, 217384494.410602, 259083538.649080, 283281674.424827, 259840645.124666, 643.479744, 844.559891, -684.123434, 745.831104
190.00, 217390929.208044, 259091984.247988, 283274833.190485, 259848103.435706, 643.468636, 844.533325, -684.143313, 745.812870
200.00, 217397363.894404, 259100429.581238, 283267991.757358, 259855561.564410, 643.457534, 844.506761, -684.163191, 745.794636
210.00, 217403798.469742, 259108874.648846, 283261150.125452, 259863019.510773, 643.446438, 844.480198, -684.183068, 745.776402
220.00, 217410232.934118, 259117319.450827, 283254308.294770, 259870477.274790, 643.435347, 844.453637, -684.202945, 745.758167
230.00, 217416667.287592, 259125763.987197, 283247466.265318, 259877934.856455, 643.424263, 844.427077, -684.222822, 745.739931
240.00, 217423101.530225, 259134208.257971, 283240624.037100, 259885392.255764, 643.413185, 844.400519, -684.242698, 745.721695
250.00, 217429535.662076, 259142652.263164, 283233781.610122, 259892849.472711, 643.402113, 844.373963, -684.262573, 745.703458
260.00, 217435969.683206, 259151096.002794, 283226938.984387, 259900306.507291, 643.391047, 844.347408, -684.282449, 745.685221
270.00, 217442403.593674, 259159539.476873, 283220096.159901, 259907763.359498, 643.379987, 844.320855, -684.302323, 745.666983
280.00, 217448837.393542, 259167982.685419, 283213253.136669, 259915220.029328, 643.368933, 844.294303, -684.322197, 745.648745
290.00, 217455271.082868, 259176425.628447, 283206409.914695, 259922676.516775, 643.357885, 844.267752, -684.342071, 745.630506
300.00, 217461704.661714, 259184868.305972, 283199566.493985, 259930132.821833, 643.346843, 844.241204, -684.361944, 745.612267
310.00, 217468138.130139, 259193310.718009, 283192722.874542, 259937588.944499, 643.335807, 844.214657, -684.381817, 745.594027
320.00, 217474571.488204, 259201752.864574, 283185879.056372, 259945044.884766, 643.324777, 844.188111, -684.401689, 745.575786
330.00, 217481004.735969, 259210194.745683, 283179035.039480, 259952500.642629, 643.313753, 844.161567, -684.421561, 745.557545
340.00, 217487437.873495, 259218636.361351, 283172190.823871, 259959956.218083, 643.302735, 844.135024, -684.441432, 745.539304
350.00, 217493870.900842, 259227077.711594, 283165346.409548, 259967411.611123, 643.291723, 844.108483, -684.461303, 745.521062
360.00, 217500303.818070, 259235518.796426, 283158501.796518, 259974866.821744, 643.280717, 844.081944, -684.481173, 745.502820
370.00, 217506736.625239, 259243959.615864, 283151656.984784, 259982321.849940, 643.269717, 844.055406, -684.501043, 745.484577
380.00, 217513169.322411, 259252400.169923, 283144811.974352, 259989776.695705, 643.258723, 844.028869, -684.520913, 745.466333
390.00, 217519601.909645, 259260840.458618, 283137966.765226, 259997231.359036, 643.247736, 844.002335, -684.540781, 745.448089
400.00, 217526034.387003, 259269280.481965, 283131121.357412, 260004685.839927, 643.236754, 843.975801, -684.560650, 745.429844
410.00, 217532466.754544, 259277720.239978, 283124275.750914, 260012140.138371, 643.225779, 843.949270, -684.580518, 745.411599
420.00, 217538899.012329, 259286159.732675, 283117429.945736, 260019594.254365, 643.214809, 843.922739, -684.600385, 745.393354
430.00, 217545331.160419, 259294598.960069, 283110583.941884, 260027048.187903, 643.203846, 843.896211, -684.620252, 745.375108
440.00, 217551763.198875, 259303037.922177, 283103737.739363, 260034501.938980, 643.192888, 843.869684, -684.640119, 745.356861
450.00, 217558195.127756, 259311476.619014, 283096891.338176, 260041955.507590, 643.181937, 843.843158, -684.659985, 745.338614
